Holmen Lab Enzymes,list of all enzymes housed in lab. Not checked for redundancy or proper formatting into genewiz. 
,
AscI,
AgeI,
ApaI,
AvaI,
Asp 718,
AvrII,
BanII,
BcII,
BstXI,
BgII,
BsgI,
BamH1-HF,
BaI,
BstEII-HF,
BssHII,
BstYI,
BgIII,
DraI,
ClaI,
DpnI,
EcoRI,
EcoRV,
DpnI,
EcoRV-HF,
HindIII-HF,
HindIII,
MluI,
KpnI,
KpnI-HF,
Mlu NI,
MreI,
NotI-HF,
NheI-HF,
NheI-HF,
NdeI,
NcoI-HF,
NheI,
NspI,
PstI,
PacI,
PvuII-HF,
PstI,
SaII-HF,
PmeI,
PstI,
PstI-HF,
PvuI-HF,
SpeI,
SaII-HF,
SmaI,
SacI,
ScaI-HF,
SpeI-HF,
SacI,
SalI,
SacI-HF,
ZmaI,
SmaI,
XhoI,
XbaI,
XhoI,
