Mouse Necropsy information sheet,...2,...3,...4
Initials,SB,,
Today's Date,44713,,
Mouse ID,28823-03,,
Disposition,,,
Disposition,Sacked for endpoint of experiment,,
Treatment,,,
Sex,Female,,
Strain,DCT-TVA::Brafca/ca;Tyr/Tyr,,
BD,44542,`,
Sac Date,44713,,
Age at Sac,171,,
Injection Date,44692,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (12/14/21 GP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,DCT-TVA::Brafca/ca;Tyr/Tyr,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,Brain,,
Parafin Block #'s,HCI-19-00558-00,,
,,,
Slide #'s,,,
H&E?,Yes,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Brain, liver, and lungs appears normal upon necropsy",,
,,,
,,,
