Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44398,,
Mouse ID,26269-03,,
Disposition,"Lethargic, almost completely immobile, heavily leaning to the right",,
Disposition,EXCLUDE FROM STUDY DUE TO NO EVIDENCE OF A PRIMARY TUMOR,,
Treatment,,,
Sex,Male,,
Strain,DCT-TVA;Ptenf/f;Brafca/ca;Tyr-Cre/+,,
BD,44246,`,
Sac Date,44398,,
Age at Sac,152,,
Injection Date,44246,,
Virus 1,RCAS Cre (GP 2/19/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,DCT-TVA;Ptenf/f;Brafca/ca;Tyr-Cre/+,,
Tissue collected,"Brain, lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,Brain was incredibly large and was abnormal in appearance. No clear differenciation between hemispheres,,
,A few lung mets were seen grossly,,
,,,
