Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44433,,
Mouse ID,26376-00,,
Disposition,Enddate,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA::Brafca/ca;Tyr/+,,
BD,44257,,
Sac Date,44433,,
Age at Sac,176,,
Injection Date,44258,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (GP 3/3/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,44421,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Brafca/ca;Tyr/+,,
Tissue collected,"Brain, Lungs, Tumor",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Tumor",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Healthy,,
,enddate reached,,
