Mouse Necropsy information sheet,...2
Initials,AG
Today's Date,43999
Mouse ID,23633-03Br
Disposition,"Isolated itself, head bulge"
Sex,Female
Strain,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+
BD,43957
Sac Date,43999
Age at Sac,42 days
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43959
Virus 1,RCAS-CRE
Virus 2,RCAS-IDH1R132H-HA
Virus 3,RCAS-PDGFA
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+
Tissue collected,Brain
Zinc fixed ?,No
Formalin fixed?,Yes
Parafin Block #'s,HCI-20-23633
,
Slide #'s,1
H&E?,yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Skull enlarged, Brain apperes normal."
