Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
Initials,KC,,,,,,,,,
Today's Date,44776,,,,,,,,,
Mouse ID,30314-10,,,,,,,,,
Disposition,"Squinting, left leg paralysis,scruffy, barely opening eyes",,,,,,,,,
Sex,Male,,,,,,,,,
Strain,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,,
BD,44698,,,,,,,,,
Sac Date,44776,,,,,,,,,
Age at Sac,79 days,,,,,,,,,
RCAS injection?,Yes,,,,,,,,,
Injection route,Intracranial,,,,,,,,,
Injection Date,44699,,,,,,,,,
Virus 1,RCAS-CRE,,,,,,,,,
Virus 2,RCAS-IDH1R132H-HA,,,,,,,,,
Virus 3,RCAS-PDGFA,,,,,,,,,
Virus 4,,,,,,,,,,
Evidence of tumor?,No,,,,,,,,,
Date Tumor reported,,,,,,,,,,
Dox Tx?,,,,,,,,,,
Duration of Dox Tx,,,,,,,,,,
Genotype,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,,
Tissue collected,Brain,,,,,,,,,
Zinc fixed ?,No,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,,
Parafin Block #'s,HCI-22-30314,,,,,,,,,
,,,,,,,,,,
Slide #'s,1,,,,,,,,,
H&E?,yes,,,,,,,,,
IHC?,,,,,,,,,,
IHC stain 1,,,,,,,,,,
IHC stain 2,,,,,,,,,,
IHC stain 3,,,,,,,,,,
Additional comments,Brain was normal.,,,,,,,,,
