Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Initials,KC,,,,,,,,,,,
Today's Date,44782,,,,,,,,,,,
Mouse ID,30539-01,,,,,,,,,,,
Disposition,"Head bulge,scruffy, not moving much",,,,,,,,,,,
Sex,Male,,,,,,,,,,,
Strain,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,,,,
BD,44714,,,,,,,,,,,
Sac Date,44782,,,,,,,,,,,
Age at Sac,69 days,,,,,,,,,,,
RCAS injection?,Yes,,,,,,,,,,,
Injection route,Intracranial,,,,,,,,,,,
Injection Date,44716,,,,,,,,,,,
Virus 1,RCAS-CRE,,,,,,,,,,,
Virus 2,RCAS-IDH1R132H-HA,,,,,,,,,,,
Virus 3,RCAS-PDGFA,,,,,,,,,,,
Virus 4,,,,,,,,,,,,
Evidence of tumor?,No,,,,,,,,,,,
Date Tumor reported,,,,,,,,,,,,
Dox Tx?,,,,,,,,,,,,
Duration of Dox Tx,,,,,,,,,,,,
Genotype,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,,,,
Tissue collected,Brain,,,,,,,,,,,
Zinc fixed ?,No,,,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,,,,
Parafin Block #'s,HCI-22-30539,,,,,,,,,,,
,,,,,,,,,,,,
Slide #'s,1,,,,,,,,,,,
H&E?,yes,,,,,,,,,,,
IHC?,,,,,,,,,,,,
IHC stain 1,,,,,,,,,,,,
IHC stain 2,,,,,,,,,,,,
IHC stain 3,,,,,,,,,,,,
Additional comments,"Mushy Brain, Dark coloration on underside of brain",,,,,,,,,,,
