Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44911,,,,,,,,
Mouse ID,31985-00 (bl),,,,,,,,
Disposition,"head bugle, gasping, not moving, weight loss",,,,,,,,
Sex,Female,,,,,,,,
Strain,Purple,,,,,,,,
BD,44827,,,,,,,,
Sac Date,44911,,,,,,,,
Age at Sac,84,,,,,,,,
RCAS injection?,,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,RCAS CRE + RCAS-IDH1R132H+ RCAS-PDGFA 09/23/22 AG,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,
Tissue collected,Brain,,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Brain appeared normal. Due to gasping, necropsy of internal organs was done. Lungs appeared normal but intestines and stomach were air filled",,,,,,,,
