Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,TT,,,,,,,,
Today's Date,2/121/2023,,,,,,,,
Mouse ID,33426-01,,,,,,,,
Disposition,found dead,,,,,,,,
Sex,Female,,,,,,,,
Strain,All Alleles,,,,,,,,
BD,44942,,,,,,,,
Sac Date,44971,,,,,,,,
Age at Sac,29,,,,,,,,
RCAS injection?,RCAS-Cre,,,,,,,,
Injection route,SubQ behind ear,,,,,,,,
Injection Date,44943,,,,,,,,
Virus 1,RCAS-Cre,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,TVA+,,,,,,,,
Tissue collected,"Lung, brain",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"The lungs had numerous nodules growing on it, the thoracic cavity was just completely full of these nodules. Mouse was breathing heavily. No primary tumor",,,,,,,,
