Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42877
Mouse ID,14915
Disposition,normal
Sex,Male
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42834
Sac Date,42876
Age at Sac,42
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42836
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,possible tumor by MRI
Date Tumor reported,
Dox Tx?,Yes
Duration of Dox Tx,2 days
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,This mouse was sac'd as a 48 hr dox time point.
