Mouse Necropsy information sheet,...2
Initials,G. I. P.
Today's Date,43805
Mouse ID,00504-00
Disposition,Experimental End Point
Sex,M
Strain,NSG
BD,43585
Sac Date,43805
Age at Sac,7m 7d
RCAS injection?,"IDHR1324, Tumorspheres"
Injection route,
Injection Date,
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,"""8/6/19"" Potential Dome Head"
Dox Tx?,n/a
Duration of Dox Tx,n/a
Genotype,NSG
Tissue collected,"Brain, Plasma"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
