Mouse Necropsy information sheet,...2
Initials,SH
Today's Date,42629
Mouse ID,09931-03
Disposition,Experimental Endpoint
Sex,M
Strain,N-TVA; pten f/f; Ink4a f/f
BD,42447
Sac Date,42629
Age at Sac,6 Months
RCAS injection?,Yes
Injection route,Intercranial
Injection Date,42449
Virus 1,TzTOC-BRAF pTRIPZ BRAF CMV TetOff p2A Cre
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,
Date Tumor reported,42467
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,TVA Negative
