Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42286
Mouse ID,7714
Disposition,Severe skin injuries
Sex,Female
Strain,Nestin-TVA; ATRX flox/flox;Ink4a f/f
BD,42166
Sac Date,42286
Age at Sac,120
RCAS injection?,Yes
Injection route,IC
Injection Date,42167
Virus 1,Cre
Virus 2,MIDHR132H
Virus 3,Met
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox;Ink4a f/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
