Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42611
Mouse ID,11600-00
Disposition,Found Dead
Sex,Found Dead
Strain,N-TVA;Ink4a/Arf-f/f
BD,42586
Sac Date,8/29/2016 Found Dead
Age at Sac,25 days
RCAS injection?,yes
Injection route,IC
Injection Date,42588
Virus 1,RCAN-TRE3-BRAF-HA
Virus 2,RCAS-CRE
Virus 3,RCAS-TETOFF
Virus 4,
Evidence of tumor?,"yes: domed head observed (8/23/2016); upon dissection: large subcranical hematoma, brain deformation/atrophy"
Date Tumor reported,42605
Dox Tx?,no
Duration of Dox Tx,
Genotype,
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
