Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42606,,
Mouse ID,10818,,
Disposition,"T1- huge, upper spine between scapulas; normal behavior",,
Sex,Female,,
Strain,All Alleles,,
BD,42534,,
Sac Date,42606,,
Age at Sac,72,,
RCAN injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42537,,
Virus 1,RCAS HA-Akt2 E17K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, spleen, liver, kidneys, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"T1- huge, upper spine between scapulas; normal behavior",,
,Skull intact,,
,All organs appeared normal,,
,"3 cryogenic, 1 cell line attempted",,
