Mouse Necropsy information sheet,...2,...3,...4
Initials,KB,,
Today's Date,42779,,
Mouse ID,13921-00,,
Disposition,"FD, slightly domed head",,
Sex,Male,,
Strain,N-TVA; pten f/f; Ink4a f/f,,
BD,42762,,
Sac Date,42779,,
Age at Sac,17,,
RCAS injection?,Yes,,
Injection route,Intracranial,,
Injection Date,42763,,
Virus 1,RCAS HBEGF,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,42775,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,N-TVA Pten f/f Ink/Arf f/f,,
Tissue collected,Brain,,
,,,
Formalin fixed?,,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,,,
,,,
