Mouse Necropsy information sheet,...2,...3,...4,...5,...6
Initials,YN,,,,
Today's Date,42837,,,,
Mouse ID,14293,,,,
Disposition,"Still mobile, coherent, quick reflexes; ulcerated, small tumor",,,,
Sex,Male,,,,
Strain,All alleles,,,,
BD,42788,,,,
Sac Date,42837,,,,
Age at Sac,49,,,,
RCAS injection?,Yes,,,,
Injection route,Ear buds,,,,
Injection Date,42790,,,,
Virus 1,RCAS myrFLAG AKT 1PL/2KR,,,,
Virus 2,RCAS Cre,,,,
Virus 3,,,,,
Virus 4,,,,,
Evidence of tumor?,42800,,,,
Date Tumor reported,N/A,,,,
Dox Tx?,No,,,,
Duration of Dox Tx,NA,,,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumors",,,,
,,,,,
Formalin fixed?,Yes,,,,
Parafin Block #'s,,,,,
,,,,,
Slide #'s,,,,,
H&E?,,,,,
IHC?,,,,,
IHC stain 1,,,,,
IHC stain 2,,,,,
IHC stain 3,,,,,
Additional comments,"Tumor was extremely small--located on the right side of the head, however, it was severly ulcerated.",,,,
,Skull was in tact,,,,
,Heart and lungs had a cluster of mets on the anterior surface of lungs upon visual inspection,,,,*UPDATE: Cluster of BRAFomas
,1 cryogenic tube of tumor tissue was frozen down.,,,,
