Mouse Necropsy Information sheet,...2,...3,...4
Initials,RB,,
Today's Date,43007,,
Mouse ID,15694,,
Disposition,Unable to stand upright,,
Sex,Male,,
Strain,Nestin-TVA; ATRX flox/flox;Pten f/f,,
BD,42893,,
Sac Date,43007,,
Age at Sac,114,,
RCAS injection?,Yes,,
Injection route,intercranial,,
Injection Date,42894,,
Virus 1,RCASV5P53R273C,,
Virus 2,IDH1R132H,,
Virus 3,PDGFA,,
Virus 4,Cre,,
Evidence of tumor?,yes,,
Date Tumor reported,42992,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; ATRX flox/flox;Pten f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Soft skull, enlarged cortex and hindbrain",,
,,,
