Mouse Necropsy information sheet,...2,...3
Initials,GP,
Today's Date,42832,
Mouse ID,NSG00044-00,
Disposition,Normal activity level; slightly ungroomed; sac'd due to eye issues,
Sex,Female,
Strain,NSG,
BD,42800,
Sac Date,42832,
Age at Sac,32,
RCAS injection?,Yes,
Injection route,intracranial,
Injection Date,42802,
Virus 1,7788 (Cell Line),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,Yes,
Date Tumor reported,42825,
Dox Tx?,No,
Duration of Dox Tx,NA,
Genotype,NSG,
Tissue collected,Brain,
Zinc fixed?,Yes,Only in Zinc fixative for ~24 hours.
Formalin fixed?,No,
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Additional comments,Normal activity level; slightly ungroomed; sac'd due to eye issues,
,Brain and skull in tact.,
,Brain appeared slightly enlarged but normal.,
