Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,42853
Mouse ID,NSG00049-00
Disposition,Sac'd due to very poor health and lethargy; no noticeable tumor externally; ungroomed.
Sex,Male
Strain,NSG
BD,42800
Sac Date,42853
Age at Sac,53
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42802
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,42830
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,Yes
Formalin fixed?,No
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Sac'd due to very poor health and lethargy; no noticeable tumor externally; ungroomed.
,Skull was very soft.
,Tumor tissue visible on bottom of skull.
,Brain and skull had started to disintegrate and was very difficult to remove.
