Mouse Necropsy information sheet,...2,...3,...4
Initials,SA,,
Today's Date,43096,,
Mouse ID,17437,,
Disposition,paralyzed rear legs,,
Sex,Female,,
Strain,N-TVA;Braf Ca/+; pten f/f; Ink4a f/f,,
BD,43072,,
Sac Date,43096,,
Age at Sac,24,,
RCAS injection?,Yes,,
Injection route,intracranial,,
Injection Date,,,
Virus 1,RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,43088,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,N-TVA;Braf Ca/+; pten f/f; Ink4a f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Hydrocephaly, necrotic areas",,
,,,
