Mouse Necropsy information sheet,...2,...3
Initials,GP,
Today's Date,43980,
Mouse ID,21464-03,
Disposition,No evidence of primary tumor.,
Disposition,Experimental endpoint.,
Treatment,,
Sex,Female,
Strain,DCT-TVA; Braf CA/CA; Tyr/+,
BD,43745,`
Sac Date,43980,
Age at Sac,235,
Injection Date,43748,
Virus 1,RCAS myr-FLAG-AKT1 + RCAS Cre10/10/19 CS/GP),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,No,
Date Tumor reported,,
Dox Tx?,,
Duration of Dox Tx,,
Genotype,DCT-TVA; Braf CA/CA; Tyr/+,
Tissue collected,"B,L",
Zinc fixed?,No,
Formalin fixed?,"B,L",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,Yes,
Additional comments,Skull intact.,
,Small lung nodules found upon gross examination ex vivo.,
,All other organs appeared normal.,
,No evidence of primary tumor.,
