Mouse Necropsy information sheet,...2,...3
Initials,GP/ZL,
Today's Date,44046,
Mouse ID,22571-00,
Disposition,No evidence of primary tumor.,
Disposition,Experimental endpoint.,
Treatment,,
Sex,Female,
Strain,DCT-TVA; Braf CA/CA; Tyr/+,
BD,43854,`
Sac Date,44035,
Age at Sac,181,
Injection Date,43857,
Virus 1,RCAS myr-FLAG-AKT2 + RCAS Cre (1/27/20 GP/HW),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,No,
Date Tumor reported,,
Dox Tx?,,
Duration of Dox Tx,,
Genotype,DCT-TVA; Braf CA/CA; Tyr/+,
Tissue collected,"B,L",
Zinc fixed?,No,
Formalin fixed?,"B,L",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,Yes,
Additional comments,Skull intact.,
,Very large lungs and nodules found upon observation ex vivo.,
,All other organs appeared normal.,
,No evidence of primary tumor.,
