Mouse Necropsy information sheet,...2
Initials,DK
Today's Date,43259
Mouse ID,NSG 00277
Disposition,Sac'd due to tumor ulceration
Sex,Female
Strain,NSG
BD,43168
Sac Date,43259
Age at Sac,91
RCAS injection?,No
Injection route,Subcutaneous injection
Injection Date,43201
Virus 1,"5610 Akt1-E17K, Lucif-ZsGreen"
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,43250
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Brain, lungs, liver, tumor"
Zinc fixed?,No
Formalin fixed?,"Brain, lungs, liver, tumor"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Sac'd due to tumor ulceration
,Brain and skull intact
,Organs appeared normal
,No lung nodules noted
,"BLI performed on exicsed tumor, brain, liver, lungs"
