initials,todays_date,mouse_id,sex,strain,genotype,bd,sac_date,disposition_notes,treatment,date_of_first_treatment,treatment_duration,injection_date,virus_1,virus_2,virus_3,evidence_of_tumor,date_tumor_reported,dox_tx,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,age_at_sac,drug_treatment,reason_for_sac,start_of_treatment,treatment_length,rcas_injection,injection_route,age_at_tumor_onset,todays_date_original,sac_date_original,injection_date_original,date_tumor_reported_original
MF/MW,2023-05-09,34326-00,M,All Alleles,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca TVA-,2023-04-05,2023-05-09,"Sac'd for the development of a lump on the base of the neck. TVA-; what appears to be tumor tissue on the base of neck and shoulder; healthy lungs and liver, slightly soft and mushy brain",,,,2023-04-07,RCAS Cre,RCAS myrAKT1,,,,No,"Brain, Liver,Lungs, T1",,Yes,,,,,34,,,,,Yes,Subcutaneous behind the ear by DK,,45055,45055,45023,
MF,2023-05-06,33079-01,F,GFP,,2022-12-22,2023-05-04,This mouse was sac'd for end date; Nothing Abnormal,,,,2022-12-23,Y3.2 HA-AKT1-E17K 30 cells,,,No,,No,Brain,,Yes,,,,,133,,,,,Yes,Intracranial with 30 cells,,45052,45050,44918,
MF,2023-05-06,34337-00,F,All Alleles+ Cas9f/f,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca;Cas9f/f TVA +,2023-04-06,2023-05-08,"The mouse was sac'd for paralysis of hind legs; healthy lungs, a very red liver but not much blood, normal brain; There was no evidence of tumor tissue by palpation but small amounts of tissue at the base of neck that is potentially tumor, collected",,,,2023-04-09,DF-1 RCAS Cre + NF1,,,No,,No,"Brain, Liver,Lungs",,Yes,,,,,32,,,,,Yes,Subcutaneous behind the ear by KC,,45052,45054,45025,
MF,2023-05-06,34342-10,M,All Alleles + Cas9f/f,DCT-TVATg/+;Brafca/ca;Cas9f/f;Ptenf/f;Inkf/f,2023-04-06,2023-05-05,"The mouse was sac'd for heavy breathing and paralysis of hind legs; Skull Frail, Bloody liver, Lung covered in noduels, Spleen had two large nodules on it, necrotic teste.",,,,2023-04-09,RCAS Cre + NF1,,,No,,No,"Brain,Liver,Lungs,Spleen,and Skin Tissue(T1)",,Yes,,,,,29,,,,,Yes,Subcutaneous behind the ear,,45052,45051,45025,
MF,2023-05-06,34375-11,M,All Alleles,TVA Tg/+,2023-04-09,2023-05-04,The mouse was sac'd for heavy breathing and lack of movement; Lung nodules,,,,2023-04-10,RCAS Cre,RCAS NCAM,,No,,No,"Brain, Liver,Lungs",,Yes,,,,,25,,,,,Yes,Subcutaneous behind the ear,,45052,45050,45026,
CMM,2023-05-04,33665-00,M,GFP,GFP,2023-02-03,2023-05-04,The mouse is in pretty good health. Small tumor present. A little scruffy. Good weight.; This mouse has reached the experimental endpoint of 28 days of treatment.,,,,,,,,Yes,2023-03-18,No,,,Yes,,,,,90,,,,,No,,,45050,45050,,45003
GP,2023-05-03,32841-10,F,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,2022-12-02,2023-05-03,End date; Mouse appeared healthy. Sac'd for experimental end date. No abnormal tissue noted.,,,,,RCAS-Cre,,,No,,No,"Brain, liver, lungs",,Yes,,,,,152,,,,,Yes,Subcutaneous behind ears bilaterally,,45049,45049,,
GP,2023-05-03,32843-00,M,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,2022-12-02,2023-05-03,End date; Mouse appeared healthy. Sac'd for experimental end date. No abnormal tissue noted.,,,,,RCAS-Cre,,,No,,No,"Brain, liver, lungs",,Yes,,,,,152,,,,,Yes,Subcutaneous behind ears bilaterally,,45049,45049,,
MF/GP,2023-05-03,34127-00,F,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,2023-03-21,2023-05-03,Large hematoma formed on arm; sac'd for health.; Large cyst/tumor noted on left arm. Evidence of some tumor tissue but mostly blood filled and not enough tumor tissue to collect. Brain and liver appeared normal. Lungs had small nodules noted.,,,,,RCAS-Cre,,,Yes,2023-05-01,No,"Brain, liver, lungs",,Yes,,,,,43,,,,,Yes,Subcutaneous behind ears bilaterally,,45049,45049,,45047
TT,2023-05-03,34151-01,M,All Alleles,All Alleles,2023-03-22,2023-05-03,"Small tumor, hind legs were paralyzed, mouse was dragging itself around on its side, tumor measured ~2x2mm; The cranial cavity was really bloody, lungs looked normal, couldn't find evidence of tumor on the spine",,,,,RCAS-Cre,RCAS-NCAM,,Yes,,No,"Tumor, lungs, brain, liver",,Yes,,,,,42,,,,,Yes,Near ear,,45049,45049,,
