,verify2,verify,num,plasmid,file_name,dist,path
18,0,2,182,DANBP cmv gfp,cmv gfp,6,X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/cmv gfp.dna
49,1,2,1052,"FG12 CMV_3xFLAG-Pten, SV40_Luciferase-IRES-eGFP","FG12 3xFLAG-Pten, Luciferase-IRES-eGFP",9,"X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/FG12 3xFLAG-Pten, Luciferase-IRES-eGFP.dna"
28,0,2,586,FG12 mBRAF GFP,"FG12 AKT1, GFP",5,"X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/FG12 AKT1, GFP.dna"
50,1,2,1053,"FG12 CMV_His-Pten (C124A), SV40_Luciferase-IRES-eGFP","FG12 His-Pten (C124A), Luciferase-IRES-eGFP",9,"X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/FG12 His-Pten (C124A), Luciferase-IRES-eGFP.dna"
37,1,2,796,FG12-CMV-mCherry,FG12 mCherry,5,X:\Holmen Lab\./Lab Personnel/Former Lab Members/Clifford Shin/Cloning/FG12 mCherry.gb
51,1,2,1054,"FG12 CMV_Myc-Pten (G129E), SV40_Luciferase-IRES-eGFP","FG12 Myc-Pten (G129E), Luciferase-IRES-eGFP",9,"X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/FG12 Myc-Pten (G129E), Luciferase-IRES-eGFP.dna"
38,2,2,830,"FG12cmv-FLAG-AKT1, GFP","FG12 myr-FLAG-AKT1, GFP",3,"X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/FG12 myr-FLAG-AKT1, GFP.dna"
39,2,2,831,"FG12cmv-FLAG-AKT2, GFP","FG12 myr-FLAG-AKT2, GFP",3,"X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/FG12 myr-FLAG-AKT2, GFP.dna"
40,2,2,832,"FG12cmv-FLAG-AKT3, GFP","FG12 myr-FLAG-AKT3, GFP",3,"X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/FG12 myr-FLAG-AKT3, GFP.dna"
21,1,2,311,FG12-CMV-CRE,FG12-CMV,4,X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/FG12-CMV.dna
54,1,2,1095,FG12 CMV_myr-HA-SGK3-K191M SV40_Luciferase-IRES-eGFP,FG12-CMV Myr-HA-hSGK3-K191M Luc2-IRES-eGFP,16,X:\Holmen Lab\./Lab Personnel/Tursun/Projects/SGK Projects/Cloning/FG12 CMV HA-Myr-SGK3 K191M/FG12-CMV Myr-HA-hSGK3-K191M Luc2-IRES-eGFP.dna
53,1,2,1093,"FG12 CMV_myr-HA-SGK1-K127M, SV40_Luciferase-IRES-eGFP",FG12-CMV Myr-HA-SGK1-K127M Luc2-IRES-eGFP,16,X:\Holmen Lab\./Lab Personnel/Tursun/Projects/SGK Projects/Cloning/FG12 CMV HA-Myr-SGK1 K127M/FG12-CMV Myr-HA-SGK1-K127M Luc2-IRES-eGFP.dna
27,0,2,548,HIF1 PCDUS 3.1,HIF1CDNA (1),7,X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/HIF1CDNA (1).dna
1,0,2,21,RCAS k ras FLAG,K-ras FLAG,7,X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/K-ras FLAG.dna
2,0,2,23,RCAS h ras HA,k-ras HA,7,X:\Holmen Lab\./Lab Personnel/Former Lab Members/David/MAIN (files from desktop)/SnapGene files/k-ras HA.dna
