vector_number,vector_name,vector_name_clean,filename
0001,RCAS AP,RCAS AP,0001-RCAS AP.dna
0002,RCAS c myc,RCAS c myc,0002-RCAS c myc.dna
0003,RCAS LacZ,RCAS LacZ,0003-RCAS LacZ.dna
0004,RCAS GFP,RCAS GFP,0004-RCAS GFP.dna
0005,RCASBP(A) EGFRviii,RCASBP(A) EGFRviii,0005-RCASBP(A) EGFRviii.dna
0006,RCAS cyclinD1,RCAS cyclinD1,0006-RCAS cyclinD1.dna
0007,RCAS S37AB catenin,RCAS S37AB catenin,0007-RCAS S37AB catenin.dna
0008,RCAS middleT,RCAS middleT,0008-RCAS middleT.dna
0009,RCAS Tag,RCAS Tag,0009-RCAS Tag.dna
0010,RCAS Puro,RCAS Puro,0010-RCAS Puro.dna
0011,RCAS Tyrosinase,RCAS Tyrosinase,0011-RCAS Tyrosinase.dna
0012,RCAS B lac,RCAS B lac,0012-RCAS B lac.dna
0013,RCASBP(A) luciferase,RCASBP(A) luciferase,0013-RCASBP(A) luciferase.dna
0014,RCAS X,RCAS X,0014-RCAS X.dna
0015,RCASBP  Y DV(A),RCASBP  Y DV(A),0015-RCASBP  Y DV(A).dna
0016,Tet on RCAS X,Tet on RCAS X,0016-Tet on RCAS X.dna
0017,RCAS B AKT (bovine),RCAS B AKT (bovine),0017-RCAS B AKT (bovine).dna
0018,"RCAS BP (A) AKT HA (mouse myr-Akt-HA, used on all DCT Ms)","RCAS BP (A) AKT HA (mouse myr-Akt-HA, used on all DCT Ms)","0018-RCAS BP (A) AKT HA (mouse myr-Akt-HA, used on all DCT Ms).dna"
0019,RCAS BP(A) ?AKT HA (mouse myr-Akt?11-60-HA),RCAS BP(A) AKT HA (mouse myr-Akt11-60-HA),0019-RCAS BP(A) AKT HA (mouse myr-Akt11-60-HA).dna
0020,RCAS HA k rasG12D,RCAS HA k rasG12D,0020-RCAS HA k rasG12D.dna
0021,RCAS k ras FLAG,RCAS k ras FLAG,0021-RCAS k ras FLAG.dna
0022,RCAS k rasV12 MP1,RCAS k rasV12 MP1,0022-RCAS k rasV12 MP1.dna
0023,RCAS h ras HA,RCAS h ras HA,0023-RCAS h ras HA.dna
0024,RCAS h ras V12,RCAS h ras V12,0024-RCAS h ras V12.dna
0025,RCAS huHGF,RCAS huHGF,0025-RCAS huHGF.dna
0026,RCAS bFGF,RCAS bFGF,0026-RCAS bFGF.dna
0027,RCAS RFP,RCAS RFP,0027-RCAS RFP.dna
0028,RCAS cdk5 IRES p25,RCAS cdk5 IRES p25,0028-RCAS cdk5 IRES p25.dna
0029,RCAS p25 IRS,RCAS p25 IRS,0029-RCAS p25 IRS.dna
0030,RCAS Bfl 1,RCAS Bfl 1,0030-RCAS Bfl 1.dna
0031,hRSK1 myrY702A pDest RCAS,hRSK1 myrY702A pDest RCAS,0031-hRSK1 myrY702A pDest RCAS.dna
0032,RSKwt RCAS GW,RSKwt RCAS GW,0032-RSKwt RCAS GW.dna
0033,RCAS Y  MEK1 GF,RCAS Y  MEK1 GF,0033-RCAS Y  MEK1 GF.dna
0034,RCAS Nk4,RCAS Nk4,0034-RCAS Nk4.dna
0035,RCAS Nk4 HA,RCAS Nk4 HA,0035-RCAS Nk4 HA.dna
0036,RCAS FRAT1 Flag,RCAS FRAT1 Flag,0036-RCAS FRAT1 Flag.dna
0037,RCAS CKI epsilon,RCAS CKI epsilon,0037-RCAS CKI epsilon.dna
0038,RCAS Wnt1 HA,RCAS Wnt1 HA,0038-RCAS Wnt1 HA.dna
0039,RCAS Wnt5A,RCAS Wnt5A,0039-RCAS Wnt5A.dna
0040,RCASBP(c) sTVA GFP,RCASBP(c) sTVA GFP,0040-RCASBP(c) sTVA GFP.dna
0041,RCAS Large T,RCAS Large T,0041-RCAS Large T.dna
0042,RCAS Y DV,RCAS Y DV,0042-RCAS Y DV.dna
0043,pYAP6,pYAP6,0043-pYAP6.dna
0044,pYAP6 CMV GFP,pYAP6 CMV GFP,0044-pYAP6 CMV GFP.dna
0045,pYAP6 GFP,pYAP6 GFP,0045-pYAP6 GFP.dna
0046,pEntr3C CMV GFP,pEntr3C CMV GFP,0046-pEntr3C CMV GFP.dna
0047,pEntr3C GFP,pEntr3C GFP,0047-pEntr3C GFP.dna
0048,pDEST RCAS hRSK1 myr,pDEST RCAS hRSK1 myr,0048-pDEST RCAS hRSK1 myr.dna
0049,RCAS Y DV NHA,RCAS Y DV NHA,0049-RCAS Y DV NHA.dna
0050,RCAS Y DV CHA,RCAS Y DV CHA,0050-RCAS Y DV CHA.dna
0051,RCAS Cre,RCAS Cre,0051-RCAS Cre.dna
0052,RCAS Cre GFP,RCAS Cre GFP,0052-RCAS Cre GFP.dna
0053,RCAS Tet off,RCAS Tet off,0053-RCAS Tet off.dna
0054,RCAS Y DV BRAF wt,RCAS Y DV BRAF wt,0054-RCAS Y DV BRAF wt.dna
0055,RCAS Y DV BRAF V599E,RCAS Y DV BRAF V599E,0055-RCAS Y DV BRAF V599E.dna
0056,pENTR3C BRAF,pENTR3C BRAF,0056-pENTR3C BRAF.dna
0057,pENTR3C BRAF V599E,pENTR3C BRAF V599E,0057-pENTR3C BRAF V599E.dna
0058,pENTR3C RSK CAI,pENTR3C RSK CAI,0058-pENTR3C RSK CAI.dna
0059,pENTR3C RSK CAII,pENTR3C RSK CAII,0059-pENTR3C RSK CAII.dna
0060,RCAS Y DV Nras Q61R,RCAS Y DV Nras Q61R,0060-RCAS Y DV Nras Q61R.dna
0061,RCAS Y DV RSK CAI,RCAS Y DV RSK CAI,0061-RCAS Y DV RSK CAI.dna
0062,RCAS Y DV RSK CAII,RCAS Y DV RSK CAII,0062-RCAS Y DV RSK CAII.dna
0063,pENTR3C Bcl XL,pENTR3C Bcl XL,0063-pENTR3C Bcl XL.dna
0064,pENTR3C Nras Q61R,pENTR3C Nras Q61R,0064-pENTR3C Nras Q61R.dna
0065,RCAS Y DV Bcl XL,RCAS Y DV Bcl XL,0065-RCAS Y DV Bcl XL.dna
0066,RCASBP(M2C) 797 8 (reduced toxicity ampho),RCASBP(M2C) 797 8 (reduced toxicity ampho),0066-RCASBP(M2C) 797 8 (reduced toxicity ampho).dna
0067,RCASBP(A) survivin,RCASBP(A) survivin,0067-RCASBP(A) survivin.dna
0068,pENTR3C survivin,pENTR3C survivin,0068-pENTR3C survivin.dna
0069,RCASBP(M) Rfc.1 (Destination Vector) clone #2,RCASBP(M) Rfc.1 (Destination Vector) clone #2,0069-RCASBP(M) Rfc.1 (Destination Vector) clone #2.dna
0070,RCANBP(M) DV clone #7,RCANBP(M) DV clone #7,0070-RCANBP(M) DV clone #7.dna
0071,RCANBP(M) clone #13,RCANBP(M) clone #13,0071-RCANBP(M) clone #13.dna
0072,RCASBP(M) Nras Q61R,RCASBP(M) Nras Q61R,0072-RCASBP(M) Nras Q61R.dna
0073,RCASBP(M) Braf,RCASBP(M) Braf,0073-RCASBP(M) Braf.dna
0074,RCASBP(M) Braf V599E,RCASBP(M) Braf V599E,0074-RCASBP(M) Braf V599E.dna
0075,RCASBP(M) RSK CAI,RCASBP(M) RSK CAI,0075-RCASBP(M) RSK CAI.dna
0076,RCASBP(M) RSK CAII,RCASBP(M) RSK CAII,0076-RCASBP(M) RSK CAII.dna
0077,RCASBP(M) Bcl XL,RCASBP(M) Bcl XL,0077-RCASBP(M) Bcl XL.dna
0078,RCASBP(M) Survivin,RCASBP(M) Survivin,0078-RCASBP(M) Survivin.dna
0079,RCASBP(M) Bfl 1,RCASBP(M) Bfl 1,0079-RCASBP(M) Bfl 1.dna
0080,RCASBP(M) GFP,RCASBP(M) GFP,0080-RCASBP(M) GFP.dna
0081,RCANBP(M) GFP,RCANBP(M) GFP,0081-RCANBP(M) GFP.dna
0082,RCANBP(M) CMV GFP,RCANBP(M) CMV GFP,0082-RCANBP(M) CMV GFP.dna
0083,RCASBP(M) RFC.1,RCASBP(M) RFC.1,0083-RCASBP(M) RFC.1.dna
0084,RCASBP(M) hBID,RCASBP(M) hBID,0084-RCASBP(M) hBID.dna
0085,RCASBP(M) hBad wt,RCASBP(M) hBad wt,0085-RCASBP(M) hBad wt.dna
0086,RCASBP(M) hBad 3SA,RCASBP(M) hBad 3SA,0086-RCASBP(M) hBad 3SA.dna
0087,RCASBP(M) Bim EL,RCASBP(M) Bim EL,0087-RCASBP(M) Bim EL.dna
0088,RCASBP(M) Bim L,RCASBP(M) Bim L,0088-RCASBP(M) Bim L.dna
0089,RCASBP(M) Bim S,RCASBP(M) Bim S,0089-RCASBP(M) Bim S.dna
0090,pENTR3C hBAD 3SA,pENTR3C hBAD 3SA,0090-pENTR3C hBAD 3SA.dna
0091,pENTR3C hBAD wt,pENTR3C hBAD wt,0091-pENTR3C hBAD wt.dna
0092,pENTR3C hBid,pENTR3C hBid,0092-pENTR3C hBid.dna
0093,pENTR3C Bim EL,pENTR3C Bim EL,0093-pENTR3C Bim EL.dna
0094,pENTR3C Bim L,pENTR3C Bim L,0094-pENTR3C Bim L.dna
0095,pENTR3C Bim S,pENTR3C Bim S,0095-pENTR3C Bim S.dna
0096,RCANBP(M) Bad 24,RCANBP(M) Bad 24,0096-RCANBP(M) Bad 24.dna
0097,RCANBP(A) Bad 24,RCANBP(A) Bad 24,0097-RCANBP(A) Bad 24.dna
0098,RCANBP(M) Bad 433,RCANBP(M) Bad 433,0098-RCANBP(M) Bad 433.dna
0099,RCANBP(M) Bad 445,RCANBP(M) Bad 445,0099-RCANBP(M) Bad 445.dna
0100,RCANBP(A) Bad 445,RCANBP(A) Bad 445,0100-RCANBP(A) Bad 445.dna
0101,RCANBP(A) Bim 37,RCANBP(A) Bim 37,0101-RCANBP(A) Bim 37.dna
0102,RCANBP(A) Bad 433,RCANBP(A) Bad 433,0102-RCANBP(A) Bad 433.dna
0103,RCANBP(M) Bim 37,RCANBP(M) Bim 37,0103-RCANBP(M) Bim 37.dna
0104,RCASBP(M) T34A survivin,RCASBP(M) T34A survivin,0104-RCASBP(M) T34A survivin.dna
0105,RCASBP(M) C84A survivin,RCASBP(M) C84A survivin,0105-RCASBP(M) C84A survivin.dna
0106,RCANBP(M) Bim 37 clone #1,RCANBP(M) Bim 37 clone #1,0106-RCANBP(M) Bim 37 clone #1.dna
0107,RCANBP(M) Bim 37 clone #2,RCANBP(M) Bim 37 clone #2,0107-RCANBP(M) Bim 37 clone #2.dna
0108,pENTR Tet Off mini prep #1,pENTR Tet Off mini prep #1,0108-pENTR Tet Off mini prep #1.dna
0109,pENTR3C tvb 703,pENTR3C tvb 703,0109-pENTR3C tvb 703.dna
0110,pENTR3C tvb 889,pENTR3C tvb 889,0110-pENTR3C tvb 889.dna
0111,pENTR3C tvb 1121,pENTR3C tvb 1121,0111-pENTR3C tvb 1121.dna
0112,RCASBP(A) Tet Off,RCASBP(A) Tet Off,0112-RCASBP(A) Tet Off.dna
0113,Bim EL S59A (from mp#7),Bim EL S59A (from mp#7),0113-Bim EL S59A (from mp#7).dna
0114,Bim EL S77A (from mp#15),Bim EL S77A (from mp#15),0114-Bim EL S77A (from mp#15).dna
0115,Bim EL T34A (from mp#39),Bim EL T34A (from mp#39),0115-Bim EL T34A (from mp#39).dna
0116,RCANBP(A) tvb 703,RCANBP(A) tvb 703,0116-RCANBP(A) tvb 703.dna
