,vector_number,vector_name,search_term,sg_files,verify,dist
1,1010,pCR8 GW TOPO HA-FAK,pCR8 GW TOPO HA-FAK.dna,pCR8 GW TOPO HA-FAK.dna,1,0
2,1022,pDONR223_PIK3CA_p.H1047R,pDONR223_PIK3CA_p.H1047R.dna,pDONR223_PIK3CA_p.H1047R.dna,1,0
3,1026,pENTR-2B U6 sgRNA FUBP1 exon 16,pENTR-2B U6 sgRNA FUBP1 exon 16.dna,pENTR-2B U6 sgRNA FUBP1 exon16.dna,1,1
4,198,RAP,RAP.dna,RAP1.dna,2,1
5,1017,pCR8 GW Dnm1l,pCR8 GW Dnm1l.dna,pCR8-GW-Dnm1l.dna,1,2
6,668,pDEST12.2,pDEST12.2.dna,pDEST22.dna,2,2
7,199,MESD,MESD.dna,M13.dna,2,3
8,1023,pENTR-2B U6 sgRNA FUBP1 exon 1,pENTR-2B U6 sgRNA FUBP1 exon 1.dna,pENTR-2B U6 sgRNA_FUBP1_exon1.dna,1,3
9,1025,pENTR-2B U6 sgRNA FUBP1 exon 15,pENTR-2B U6 sgRNA FUBP1 exon 15.dna,pENTR-2B U6 sgRNA_FUBP1_exon15.dna,1,3
10,1024,pENTR-2B U6 sgRNA FUBP1 exon 2,pENTR-2B U6 sgRNA FUBP1 exon 2.dna,pENTR-2B U6 sgRNA_FUBP1_exon2.dna,1,3
11,1008,psPAK,psPAK.dna,EPAC.dna,0,3
12,781,psPAX2,psPAX2.dna,pSP72.dna,0,3
13,183,DASBR,DASBR.dna,ADCY7.dna,0,4
14,214,pENTR TRE,pENTR TRE.dna,pENTR11.dna,0,4
15,1007,pMD2.G,pMD2.G.dna,pCR3.1.dna,0,4
16,352,RCANBP M DV,RCANBP M DV.dna,RCAN-X DV.dna,0,4
17,1111,RCAS-GFP,RCAS-GFP.dna,RCAS-Y DV.dna,0,4
18,300,FG12  /,FG12  /.dna,YGL253W.dna,0,5
19,442,KH-1LV,KH-1LV.dna,BPV1.dna,0,5
20,189,pBK7 6 2,pBK7 6 2.dna,pBLCAT2.dna,0,5
21,963,pcDNA3 eGFP,pcDNA3 eGFP.dna,pcDNA3.1 GS.dna,2,5
22,995,pCMV-VSVG,pCMV-VSVG.dna,pCMVbeta.dna,0,5
23,237,pCR8 AKT3,pCR8 AKT3.dna,pBLCAT3.dna,0,5
24,343,pENTR 3C mU6,pENTR 3C mU6.dna,pENTR3C.dna,2,5
25,310,pSICO p53,pSICO p53.dna,pPICZ A.dna,0,5
26,1,RCAS AP,RCAS AP.dna,pCS19.dna,0,5
27,193,FG12 cmv,FG12 cmv.dna,pSV2-cat.dna,0,6
28,201,Lrp5 D11Y,Lrp5 D11Y.dna,pATH11.dna,0,6
29,334,pcDNA3.1 BRAF WT,pcDNA3.1 BRAF WT.dna,pcDNA3.1 His A.dna,0,6
30,489,pCR8 CRE,pCR8 CRE.dna,pBC1.dna,0,6
31,738,pDONOR-221_iLOV,pDONOR-221_iLOV.dna,pDONR221_verD.dna,0,6
32,1102,pENTR 2B Cre U6 Sapl,pENTR 2B Cre U6 Sapl.dna,pENTR-2B  U6  SapI.dna,0,6
33,56,pENTR3C BRAF,pENTR3C BRAF.dna,pENTR2B.dna,0,6
