description_vwr,catalog,unit,price,quantity,row,column,shelf,description_stockroom
TUBE PCR 8-STRIP INDV ATCH CAP WHT 0.2ML,75796-118,Case of 1200,$595.47 ,NA,NA,NA,NA,NA
TUBE AND FLAT CAP 8STRIP NAT 0.2ML BX125,490004-440,Case of 1250,$528.27 ,2,A,2,2,TUBE AND FLAT CAP 8STRIP NAT 0.2ML BX125
TUBE 8STRIP PCR FLAT CAP PK125,89080-524,Case of 1250,$503.67 ,2,A,2,2,TUBE 8STRIP PCR FLAT CAP PK125
VWR TUBE PCR STRP 12WL NT PK80,53509-300,Case of 800,$427.08 ,4,A,2,3,VWR TUBE PCR STRP 12WL NT PK80
TUBE PCR SAPPHIRE CAP NAT 0.5ML PK=1000,75796-150,Case of 10000,$289.79 ,1,B,1,4,TUBE PCR SAPPHIRE CAP NAT 0.5ML PK=1000
TUBE PCR SAPPHIRE FLT CAP PP ASRTD 0.5ML,75796-162,Case of 10000,$281.35 ,1,B,1,4,TUBE PCR SAPPHIRE FLT CAP PP ASRTD 0.5ML
TISSUE DISH 100X20MM CS500,25382-428,Case of 500,$271.27 ,4,K,1,1 AND 2,TISSUE DISH 100X20MM CS500
TUBE PCR CLR 0.2ML FLTCP PK1000/CS=10PKS,10011-780,Case of 10000,$247.20 ,2,A,1,2,TUBE PCR CLR 0.2ML FLTCP PK1000/CS=10PKS
VWR TUBE PCR FLTCP 0.2ML PK1000,20170-012,Case of 10000,$227.15 ,5,A,2,3,VWR TUBE PCR FLTCP 0.2ML PK1000
VWR TUBE MCRCTFG NT 0.5ML PK500,20170-315,Case of 5000,$201.94 ,7,B,1,1,VWR TUBE MCRCTFG NT 0.5ML PK500
VWR PIPET TIP XL FLR PS 0.5-10UL PK 960,76322-132,Case of 4800,$180.25 ,NA,NA,NA,NA,NA
VWR PIPET TIP UNIV FLTR ST 20UL PACK960,76322-134,Case of 4800,$180.25 ,4,A,1,4,"VWR 20UL, PIPETS RETENTION "
VWR PIPET TIP FLTR ST 200UL PACK960,76322-150,Case of 4800,$180.25 ,2,A,1,2,VWR 200UL PIPIT RETENTION
VWR PIPET TIP FLTR ST 1000UL PACK960,76322-154,Case of 3840,$180.25 ,NA,NA,NA,NA,NA
VWR PIPET TIP FLTR ST 1250UL PACK960,76322-156,Case of 3840,$180.25 ,NA,NA,NA,NA,NA
